DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2010-12-09	21118971	Wu C	2010-11-30	Cancer Res	www.ncbi.nlm.nih.gov/pubmed/21118971	Genome-wide interrogation identifies YAP1 variants associated with survival of small-cell lung cancer patients.	Small-cell lung cancer (survival)	245 Han Chinese ancestry cases	305 Han Chinese ancestry cases	11q22.3	11	103547430	DYNC2H1	DYNC2H1 - LOC105369463	79659	105369463		67567	47830	rs716274-G	rs716274	0	716274	intergenic_variant	1	NR	9E-8	7.045757490560675	(AG genotype)	1.83	[1.47-2.29]	Affymetrix [265996]	N	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	GCST000896	Genome-wide genotyping array
2017-09-18	28604730	McKay JD	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	Small cell lung carcinoma	2,664 European ancestry cases,  21,444 European ancestry controls	NA	3q13.12	3	107528583	BBX	BBX			56987			rs80152782-A	rs80152782	0	80152782	intron_variant	0	0.014091705	9E-6	5.045757490560675		1.7656513	[1.372958748-2.270661615]	Illumina [10439017] (imputed)	N	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	GCST004746	Genome-wide genotyping array
2017-09-18	28604730	McKay JD	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	Small cell lung carcinoma	2,664 European ancestry cases,  21,444 European ancestry controls	NA	3q22.2	3	135461153	EPHB1, PPP2R3A	LOC105374122			105374122			rs138600791-C	rs138600791	0	138600791	intergenic_variant	0	0.012265263	2E-6	5.698970004336019		1.8133612	[1.419742717-2.316108819]	Illumina [10439017] (imputed)	N	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	GCST004746	Genome-wide genotyping array
2017-09-18	28604730	McKay JD	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	Small cell lung carcinoma	2,664 European ancestry cases,  21,444 European ancestry controls	NA	4q32.2	4	163517048	TMA16	TMA16			55319			rs9308062-T	rs9308062	0	9308062	intron_variant	0	0.416531265	5E-7	6.301029995663981		1.1650723	[1.097465593-1.236843752]	Illumina [10439017] (imputed)	N	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	GCST004746	Genome-wide genotyping array
2017-09-18	28604730	McKay JD	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	Small cell lung carcinoma	2,664 European ancestry cases,  21,444 European ancestry controls	NA	4q32.3	4	164402797	MARCH1, MIR5684	MARCH1 - RNU6-284P	55016	106481268		18747	217935	rs79669866-A	rs79669866	0	79669866	intergenic_variant	1	0.010059146	9E-6	5.045757490560675		1.8112257	[1.39404894-2.353244681]	Illumina [10439017] (imputed)	N	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	GCST004746	Genome-wide genotyping array
2017-09-18	28604730	McKay JD	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	Small cell lung carcinoma	2,664 European ancestry cases,  21,444 European ancestry controls	NA	4q34.3	4	181038635	NONE, LINC00290	LOC105377568 - LINC00290	105377568	728081		116424	25454	rs55656647-C	rs55656647	0	55656647	intergenic_variant	1	0.087723238	7E-6	5.154901959985743		1.3116096	[1.165572775-1.475943646]	Illumina [10439017] (imputed)	N	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	GCST004746	Genome-wide genotyping array
2017-09-18	28604730	McKay JD	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	Small cell lung carcinoma	2,664 European ancestry cases,  21,444 European ancestry controls	NA	5q31.1	5	133849844	FSTL4, WSPAR	FSTL4 - WSPAR	23105	105664404		7778	63833	rs1703426-C	rs1703426	0	1703426	intergenic_variant	1	0.825064016	2E-6	5.698970004336019		1.2045968	[1.12-1.3]	Illumina [10439017] (imputed)	N	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	GCST004746	Genome-wide genotyping array
2017-09-18	28604730	McKay JD	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	Small cell lung carcinoma	2,664 European ancestry cases,  21,444 European ancestry controls	NA	5q13.2	5	73010019	FCHO2	FCHO2			115548			rs258892-C	rs258892	0	258892	intron_variant	0	0.139422331	5E-6	5.301029995663981		1.2072699	[1.11347027-1.308971306]	Illumina [10439017] (imputed)	N	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	GCST004746	Genome-wide genotyping array
2017-09-18	28604730	McKay JD	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	Small cell lung carcinoma	2,664 European ancestry cases,  21,444 European ancestry controls	NA	5q14.3	5	90931162	ADGRV1	ADGRV1			84059			rs74501188-G	rs74501188	0	74501188	5_prime_UTR_variant	0	0.776056638	3E-7	6.522878745280337		1.2018008	[1.12-1.29]	Illumina [10439017] (imputed)	N	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	GCST004746	Genome-wide genotyping array
2017-09-18	28604730	McKay JD	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	Small cell lung carcinoma	2,664 European ancestry cases,  21,444 European ancestry controls	NA	6p24.2	6	11322557	NEDD9	NEDD9, LOC105374925			4739, 105374925			rs80271657-A	rs80271657	0	80271657	intron_variant	0	0.012126484	4E-6	5.3979400086720375		1.9961306	[1.48586427-2.681629472]	Illumina [10439017] (imputed)	N	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	GCST004746	Genome-wide genotyping array
