DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2014-07-25	24280104	Wu AC	2013-11-23	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/24280104	Inhaled corticosteroid treatment modulates ZNF432 gene variant's effect on bronchodilator response in asthmatics.	Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)	172 European ancestry cases, 409 European ancestry controls	227 European ancestry cases	19q13.41	19	52104512	NR	ZNF841 - ZNF616	284371	90317		8732	8561	rs10411428-T	rs10411428	0	10411428	intergenic_variant	1	0.41	1E-9	9.0				Illumina [449540]	N	response to bronchodilator, asthma	http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000270	GCST002291	Genome-wide genotyping array
2014-07-25	24280104	Wu AC	2013-11-23	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/24280104	Inhaled corticosteroid treatment modulates ZNF432 gene variant's effect on bronchodilator response in asthmatics.	Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)	172 European ancestry cases, 409 European ancestry controls	227 European ancestry cases	19q13.41	19	52098146	ZNF841	ZNF841 - ZNF616	284371	90317		2366	14927	rs11666341-A	rs11666341	0	11666341	regulatory_region_variant	1	0.45	1E-9	9.0				Illumina [449540]	N	response to bronchodilator, asthma	http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000270	GCST002291	Genome-wide genotyping array
2014-07-25	24280104	Wu AC	2013-11-23	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/24280104	Inhaled corticosteroid treatment modulates ZNF432 gene variant's effect on bronchodilator response in asthmatics.	Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)	172 European ancestry cases, 409 European ancestry controls	227 European ancestry cases	19q13.41	19	52083666	ZNF841, ZNF432	ZNF841			284371			rs12460587-G	rs12460587	0	12460587	intron_variant	0	0.33	2E-9	8.698970004336019				Illumina [449540]	N	response to bronchodilator, asthma	http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000270	GCST002291	Genome-wide genotyping array
2014-07-25	24280104	Wu AC	2013-11-23	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/24280104	Inhaled corticosteroid treatment modulates ZNF432 gene variant's effect on bronchodilator response in asthmatics.	Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)	172 European ancestry cases, 409 European ancestry controls	227 European ancestry cases	19q13.41	19	52029018	ZNF614	ZNF614 - ZNF432	80110	9668		591	2361	rs2288884-T	rs2288884	0	2288884	intron_variant	1	0.34	5E-8	7.301029995663981				Illumina [449540]	N	response to bronchodilator, asthma	http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000270	GCST002291	Genome-wide genotyping array
2014-07-25	24280104	Wu AC	2013-11-23	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/24280104	Inhaled corticosteroid treatment modulates ZNF432 gene variant's effect on bronchodilator response in asthmatics.	Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)	172 European ancestry cases, 409 European ancestry controls	227 European ancestry cases	8q23.3	8	113873203	NR	CSMD3 - LOC105375710	114788	105375710		435704	421380	rs6469488-G	rs6469488	0	6469488	intergenic_variant	1	0.07	7E-6	5.154901959985743				Illumina [449540]	N	response to bronchodilator, asthma	http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0000270	GCST002291	Genome-wide genotyping array
2016-10-14	26634245	Lutz SM	2015-12-03	BMC Genet	www.ncbi.nlm.nih.gov/pubmed/26634245	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	Post bronchodilator FEV1	10,094 European ancestry current and former smoker individuals, 3,260 African American current and former smoker individuals, 178 current and former smoker individuals	NA	1q25.3	1	185597419	AF508906	LOC107985239, LINC01350			107985239, 101929093			rs148428208-G	rs148428208	0	148428208	intron_variant	0	0.998	3E-6	5.522878745280337	(AA)	1.173	NR unit decrease	Illumina [NR] (imputed)	N	forced expiratory volume, response to bronchodilator	http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	GCST003262	Genome-wide genotyping array
2016-10-14	26634245	Lutz SM	2015-12-03	BMC Genet	www.ncbi.nlm.nih.gov/pubmed/26634245	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	Post bronchodilator FEV1	10,094 European ancestry current and former smoker individuals, 3,260 African American current and former smoker individuals, 178 current and former smoker individuals	NA	4q12	4	58006746	Intergenic	LOC105377670 - SRIP1	105377670	6644		152077	96401	rs144575900-G	rs144575900	0	144575900	intergenic_variant	1	0.991	3E-6	5.522878745280337	(AA)	0.469	NR unit decrease	Illumina [NR] (imputed)	N	forced expiratory volume, response to bronchodilator	http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	GCST003262	Genome-wide genotyping array
2016-10-14	26634245	Lutz SM	2015-12-03	BMC Genet	www.ncbi.nlm.nih.gov/pubmed/26634245	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	Post bronchodilator FEV1	10,094 European ancestry current and former smoker individuals, 3,260 African American current and former smoker individuals, 178 current and former smoker individuals	NA	3q25.32	3	157831833	Intergenic	PQLC2L - RN7SKP46	152078	106480847		230600	98659	rs139873132-T	rs139873132	0	139873132	intergenic_variant	1	0.984	1E-6	6.0	(AA)	0.337	NR unit decrease	Illumina [NR] (imputed)	N	forced expiratory volume, response to bronchodilator	http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	GCST003262	Genome-wide genotyping array
2016-10-14	26634245	Lutz SM	2015-12-03	BMC Genet	www.ncbi.nlm.nih.gov/pubmed/26634245	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	Post bronchodilator FEV1	10,094 European ancestry current and former smoker individuals, 3,260 African American current and former smoker individuals, 178 current and former smoker individuals	NA	5q12.1	5	62840167	Intergenic	ISCA1P1 - LOC107986417	389293	107986417		62823	453682	rs151121608-G	rs151121608	0	151121608	intergenic_variant	1	0.982	8E-7	6.096910013008056	(AA)	0.335	NR unit decrease	Illumina [NR] (imputed)	N	forced expiratory volume, response to bronchodilator	http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	GCST003262	Genome-wide genotyping array
2016-10-14	26634245	Lutz SM	2015-12-03	BMC Genet	www.ncbi.nlm.nih.gov/pubmed/26634245	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	Post bronchodilator FEV1	10,094 European ancestry current and former smoker individuals, 3,260 African American current and former smoker individuals, 178 current and former smoker individuals	NA	7p12.1	7	52071882	Intergenic	LOC107986738 - LOC107986796	107986738	107986796		49554	243527	rs190817748-A	rs190817748	0	190817748	intergenic_variant	1	0.984	3E-6	5.522878745280337	(AA)	0.312	NR unit decrease	Illumina [NR] (imputed)	N	forced expiratory volume, response to bronchodilator	http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	GCST003262	Genome-wide genotyping array
