DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2015-02-05	25044411	Liao SY	2014-07-08	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/25044411	Genome-wide association and network analysis of lung function in the Framingham Heart Study.	Lung function (forced expiratory volume in 1 second)	2,698 European ancestry individuals	NA	4q31.1	4	138572244	intergenic	LOC152594 - LOC105377448	152594	105377448		9857	247713	rs1450439-A	rs1450439	0	1450439	intergenic_variant	1	0.2373	4E-6	5.3979400086720375		67.9	[NR] unit increase	Affymetrix [300895]	N	forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	GCST002521	Genome-wide genotyping array
2015-02-05	25044411	Liao SY	2014-07-08	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/25044411	Genome-wide association and network analysis of lung function in the Framingham Heart Study.	Lung function (forced expiratory volume in 1 second)	2,698 European ancestry individuals	NA	3p21.31	3	45259113	intergenic	TMEM158 - LOC105377061	25907	105377061		32791	48777	rs33794-A	rs33794	0	33794	intergenic_variant	1	0.4367	6E-6	5.221848749616356		55.9	[NR] unit decrease	Affymetrix [300895]	N	forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	GCST002521	Genome-wide genotyping array
2018-01-12	29095316	Suh Y	2017-11-01	Medicine (Baltimore)	www.ncbi.nlm.nih.gov/pubmed/29095316	Genome-wide association study for genetic variants related with maximal voluntary ventilation reveals two novel genomic signals associated with lung function.	Lung function (forced expiratory volume in 1 second)	8,842 Korean ancestry individuals	NA	2q32.1	2	184295785	LOC102724340	LOC102724340, LOC105373776			102724340, 105373776			rs41434646-?	rs41434646	0	41434646	intergenic_variant	0	NR	9E-6	5.045757490560675		4.15	[NR] unit increase	Affymetrix [2476376] (imputed)	N	forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	GCST005132	Genome-wide genotyping array
2018-01-12	29095316	Suh Y	2017-11-01	Medicine (Baltimore)	www.ncbi.nlm.nih.gov/pubmed/29095316	Genome-wide association study for genetic variants related with maximal voluntary ventilation reveals two novel genomic signals associated with lung function.	Lung function (forced expiratory volume in 1 second)	8,842 Korean ancestry individuals	NA	4q27	4	120683279	intergenic	LOC107986308 - PRDM5	107986308	11107		282343	1628	rs1496255-?	rs1496255	0	1496255	regulatory_region_variant	1	NR	4E-9	8.397940008672037		6.31	unit increase	Affymetrix [2476376] (imputed)	N	forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	GCST005132	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (FEV1)	1,015 European ancestry individuals, 541 African American individuals	NA	4q24	4	105657597	GSTCD, INTS12	ARHGEF38			54848			rs1982346-?	rs1982346	0	1982346	intron_variant	0	NR	1E-7	7.0				Illumina [up to 524000]	N	forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	GCST002165	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (FEV1)	1,015 European ancestry individuals, 541 African American individuals	NA	8p22	8	18816221	NR	PSD3			23362			rs2638663-?	rs2638663	0	2638663	intron_variant	0		8E-7	6.096910013008056	(AA)			Illumina [up to 524000]	N	forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	GCST002165	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (FEV1)	1,015 European ancestry individuals, 541 African American individuals	NA	2q33.3	2	204503735	NR	LOC105373845 - PARD3B	105373845	117583		27862	42058	rs4673301-?	rs4673301	0	4673301	intron_variant	1		4E-6	5.3979400086720375	(EA)			Illumina [up to 524000]	N	forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	GCST002165	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (FEV1)	1,015 European ancestry individuals, 541 African American individuals	NA	4q28.3	4	134026646	NR	PABPC4L			132430			rs1494978-?	rs1494978	0	1494978	intergenic_variant	0		6E-6	5.221848749616356	(EA)			Illumina [up to 524000]	N	forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	GCST002165	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (FEV1)	1,015 European ancestry individuals, 541 African American individuals	NA	14q31.1	14	80120798	NR	LOC107984134 - LOC105370591	107984134	105370591		133690	26682	rs10220309-?	rs10220309	0	10220309	intergenic_variant	1		6E-6	5.221848749616356	(AA)			Illumina [up to 524000]	N	forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	GCST002165	Genome-wide genotyping array
2014-03-28	24023788	Ong BA	2013-09-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24023788	Gene network analysis in a pediatric cohort identifies novel lung function genes.	Lung function (FEV1)	1,015 European ancestry individuals, 541 African American individuals	NA	2q31.3	2	181647129	NR	CERKL			375298			rs1441147-?	rs1441147	0	1441147	intron_variant	0		3E-6	5.522878745280337	(AA)			Illumina [up to 524000]	N	forced expiratory volume	http://www.ebi.ac.uk/efo/EFO_0004314	GCST002165	Genome-wide genotyping array
